"provincia";"canton";"distrito";"nombre_distrito"
1;101;10101;"Carmen"
1;101;10102;"Merced"
1;101;10103;"Hospital"
1;101;10104;"Catedral"
1;101;10105;"Zapote"
1;101;10107;"Uruca"
1;101;10108;"Mata Redonda"
1;101;10109;"Pavas"
1;101;10110;"Hatillo"
1;101;10111;"San Sebastián"
1;102;10201;"Escazú"
1;102;10202;"San Antonio"
1;102;10203;"San Rafael"
1;103;10301;"Desamparados"
1;103;10302;"San Miguel"
1;103;10303;"San Juan de Dios"
1;103;10304;"San Rafael Arriba"
1;103;10305;"San Antonio"
1;103;10306;"Frailes"
1;103;10307;"Patarra"
1;103;10308;"San Cristobal"
1;103;10309;"Rosario"
1;103;10310;"Damas"
1;103;10311;"San Rafael Abajo"
1;103;10312;"Gravilias"
1;103;10313;"Los Guido"
1;104;10401;"Santiago"
1;104;10402;"Mercedes Sur"
1;104;10403;"Barbacoas"
1;104;10404;"Grifo Alto"
1;104;10405;"San Rafael"
1;104;10406;"Candelarita"
1;104;10407;"Desamparaditos"
1;104;10408;"San Antonio"
1;104;10409;"Chires"
1;105;10501;"San Marcos"
1;105;10502;"San Lorenzo"
1;105;10503;"San Carlos"
1;106;10601;"Aserrí"
1;106;10602;"Tarbaca"
1;106;10603;"Vuelta de Jorco"
1;106;10604;"San Gabriel"
1;106;10605;"Legua"
1;106;10606;"Monterrey"
1;106;10607;"Salitrillos"
1;107;10701;"Colón"
1;107;10702;"Guayabo"
1;107;10703;"Tabarcia"
1;107;10704;"Piedras Negras"
1;107;10705;"Picagres"
1;107;10706;"Jaris"
1;107;10707;"Quitirrisí"
1;108;10801;"Guadalupe"
1;108;10802;"San Francisco"
1;108;10803;"Calle Blancos"
1;108;10804;"Mata de Plátano"
1;108;10805;"Ipis"
1;108;10806;"Rancho Redondo"
1;108;10807;"Purral"
1;109;10901;"Santa Ana"
1;109;10902;"Salitral"
1;109;10903;"Pozos"
1;109;10904;"Uruca"
1;109;10905;"Piedades"
1;109;10906;"Brasil"
1;110;11001;"Alajuelita"
1;110;11002;"San Josecito"
1;110;11003;"San Antonio"
1;110;11004;"Concepción"
1;110;11005;"San Felipe"
1;111;11101;"San Isidro"
1;111;11102;"San Rafael"
1;111;11104;"Patalillo"
1;111;11105;"Cascajal"
1;112;11201;"San Ignacio"
1;112;11202;"Guaitil"
1;112;11203;"Palmichal"
1;112;11204;"Cangrejal"
1;112;11205;"Sabanillas"
1;113;11301;"San Juan"
1;113;11302;"Cinco Esquinas"
1;113;11303;"Anselmo Llorente"
1;113;11304;"León XIII"
1;113;11305;"Colima"
1;114;11401;"San Vicente"
1;114;11402;"San Jerónimo"
1;114;11403;"La Trinidad"
1;115;11501;"San Pedro"
1;115;11502;"Sabanilla"
1;115;11503;"Mercedes"
1;115;11504;"San Rafael"
1;116;11601;"San Pablo"
1;116;11602;"San Pedro"
1;116;11603;"San Juan de Mata"
1;116;11604;"San Luis"
1;116;11605;"Carara"
1;117;11701;"Santa María"
1;117;11702;"Jardín"
1;117;11703;"Copey"
1;118;11801;"Curridabat"
1;118;11802;"Granadilla"
1;118;11803;"Sánchez"
1;118;11804;"Tirrases"
1;119;11902;"El General"
1;119;11903;"Daniel Flores"
1;119;11904;"Rivas"
1;119;11905;"San Pedro"
1;119;11906;"Platanares"
1;119;11907;"Pejibaye"
1;119;11908;"Cajón"
1;119;11909;"Barú"
1;119;11910;"Río Nuevo"
1;119;11911;"Paramo"
1;119;11912;"La  Amistad"
1;120;12001;"San Pablo"
1;120;12002;"San Andrés"
1;120;12003;"Llano Bonito"
1;120;12004;"San Isidro"
1;120;12005;"Santa Cruz"
1;120;12006;"San Antonio"
2;201;20101;"Alajuela"
2;201;20102;"San José"
2;201;20103;"Carrizal"
2;201;20104;"San Antonio"
2;201;20105;"Guácima"
2;201;20106;"San Isidro"
2;201;20107;"Sabanilla"
2;201;20108;"San Rafael"
2;201;20109;"Río Segundo"
2;201;20110;"Desamparados"
2;201;20111;"Turrucares"
2;201;20112;"Tambor"
2;201;20113;"Garita"
